timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pitch,roll,azimuth,filtered_accel_x,filtered_accel_y,filtered_accel_z,device_state
1772088864156,0.010175358,3.2345665,9.424775,0.18016271,-0.103730045,0.06791056,17.872375,1.3067026,0.0,-0.2184709,3.0892384,9.5777645,HELD_IN_HAND
1772088864156,0.010175358,3.2345665,9.424775,0.18016271,-0.103730045,0.06791056,17.872375,1.3067026,0.0,-0.2184709,3.0892384,9.5777645,HELD_IN_HAND
1772088864088,-0.4950012,2.966416,9.877279,0.039414756,-0.2764359,6.6578976E-4,17.937798,2.1745267,0.0,-0.36343986,3.1007304,9.57154,HELD_IN_HAND
1772088864088,-0.4950012,2.966416,9.877279,0.039414756,-0.2764359,6.6578976E-4,17.937798,2.1745267,0.0,-0.36343986,3.1007304,9.57154,HELD_IN_HAND
1772088864087,-0.4950012,2.966416,9.877279,0.039414756,-0.2764359,6.6578976E-4,17.937798,2.1745267,0.0,-0.36343986,3.1007304,9.57154,HELD_IN_HAND
1772088864023,-0.45070848,3.2357635,8.647857,-0.13701953,-0.23156169,0.016644744,20.357086,3.6398408,0.0,-0.55557454,3.2471359,8.733689,STATIONARY
1772088864022,-0.45070848,3.2357635,8.647857,-0.13701953,-0.23156169,0.016644744,20.357086,3.6398408,0.0,-0.55557454,3.2471359,8.733689,STATIONARY
1772088864021,-0.45070848,3.2357635,8.647857,-0.13701953,-0.23156169,0.016644744,20.357086,3.6398408,0.0,-0.55557454,3.2471359,8.733689,STATIONARY
1772088863922,-0.919972,3.2932243,8.161834,0.29454538,-0.13089427,-0.02809633,18.606688,3.3634806,0.0,-0.5631162,3.2313347,9.581476,HELD_IN_HAND
1772088863922,-0.919972,3.2932243,8.161834,0.29454538,-0.13089427,-0.02809633,18.606688,3.3634806,0.0,-0.5631162,3.2313347,9.581476,STATIONARY
1772088863921,-0.919972,3.2932243,8.161834,0.29454538,-0.13089427,-0.02809633,18.606688,3.3634806,0.0,-0.5631162,3.2313347,9.581476,HELD_IN_HAND
1772088863859,-0.53689975,3.0873232,9.300277,-0.06418213,0.111053735,0.08122636,17.338093,4.0475154,0.0,-0.66810197,2.9550433,9.441774,HELD_IN_HAND
1772088863858,-0.53689975,3.0873232,9.300277,-0.06418213,0.111053735,0.08122636,17.338093,4.0475154,0.0,-0.66810197,2.9550433,9.441774,HELD_IN_HAND
1772088863857,-0.53689975,3.0873232,9.300277,-0.06418213,0.111053735,0.08122636,17.338093,4.0475154,0.0,-0.66810197,2.9550433,9.441774,HELD_IN_HAND
1772088863822,-0.7212533,2.9460652,9.759963,-0.21771325,0.18322535,0.0077231615,18.50467,3.7406425,0.0,-0.61207765,3.1399953,9.361928,HELD_IN_HAND
1772088863821,-0.7212533,2.9460652,9.759963,-0.21771325,0.18322535,0.0077231615,18.50467,3.7406425,0.0,-0.61207765,3.1399953,9.361928,HELD_IN_HAND
1772088863820,-0.7212533,2.9460652,9.759963,-0.21771325,0.18322535,0.0077231615,18.50467,3.7406425,0.0,-0.61207765,3.1399953,9.361928,STATIONARY
1772088863757,-0.107140526,3.1507695,9.088389,-0.12703268,0.19454378,-0.042743705,19.893791,0.71747833,0.0,-0.114801966,3.3176453,9.167278,STATIONARY
1772088863756,-0.107140526,3.1507695,9.088389,-0.12703268,0.19454378,-0.042743705,19.893791,0.71747833,0.0,-0.114801966,3.3176453,9.167278,STATIONARY
1772088863755,-0.107140526,3.1507695,9.088389,-0.12703268,0.19454378,-0.042743705,19.893791,0.71747833,0.0,-0.114801966,3.3176453,9.167278,STATIONARY
1772088863691,-0.28790274,3.3363202,9.022549,-0.003328949,-0.04607265,0.031158961,19.358099,1.8382089,0.0,-0.29879636,3.272634,9.310092,HELD_IN_HAND
1772088863690,-0.28790274,3.3363202,9.022549,-0.003328949,-0.04607265,0.031158961,19.358099,1.8382089,0.0,-0.29879636,3.272634,9.310092,HELD_IN_HAND
1772088863689,-0.28790274,3.3363202,9.022549,-0.003328949,-0.04607265,0.031158961,19.358099,1.8382089,0.0,-0.29879636,3.272634,9.310092,HELD_IN_HAND
1772088863623,-0.3752911,3.3638535,9.305065,-0.072571084,-0.12729901,0.05592634,20.257954,3.4367478,0.0,-0.5582081,3.4367568,9.295009,HELD_IN_HAND
1772088863623,-0.3752911,3.3638535,9.305065,-0.072571084,-0.12729901,0.05592634,20.257954,3.4367478,0.0,-0.5582081,3.4367568,9.295009,HELD_IN_HAND
1772088863622,-0.3752911,3.3638535,9.305065,-0.072571084,-0.12729901,0.05592634,20.257954,3.4367478,0.0,-0.5582081,3.4367568,9.295009,HELD_IN_HAND
1772088863560,-0.7966706,3.417723,9.4774475,-0.16245271,-0.007989477,0.023169484,20.433609,2.3654578,0.0,-0.37565023,3.390908,9.093776,HELD_IN_HAND
1772088863559,-0.7966706,3.417723,9.4774475,-0.16245271,-0.007989477,0.023169484,20.433609,2.3654578,0.0,-0.37565023,3.390908,9.093776,HELD_IN_HAND
1772088863557,-0.7966706,3.417723,9.4774475,-0.16245271,-0.007989477,0.023169484,20.433609,2.3654578,0.0,-0.37565023,3.390908,9.093776,HELD_IN_HAND
1772088863488,-0.39923313,3.38181,9.038112,-0.015180007,-0.05286371,0.07989477,19.970028,3.3058896,0.0,-0.53031576,3.3417068,9.180925,HELD_IN_HAND
1772088863488,-0.39923313,3.38181,9.038112,-0.015180007,-0.05286371,0.07989477,19.970028,3.3058896,0.0,-0.53031576,3.3417068,9.180925,HELD_IN_HAND
1772088863487,-0.39923313,3.38181,9.038112,-0.015180007,-0.05286371,0.07989477,19.970028,3.3058896,0.0,-0.53031576,3.3417068,9.180925,HELD_IN_HAND
1772088863418,-0.32621,3.345897,9.090784,7.9894776E-4,-0.20040272,-0.006657898,19.982973,4.117635,0.0,-0.6728904,3.4076672,9.346964,HELD_IN_HAND
1772088863418,-0.32621,3.345897,9.090784,7.9894776E-4,-0.20040272,-0.006657898,19.853773,3.8892055,0.0,-0.6326678,3.3680434,9.306143,HELD_IN_HAND
1772088863417,-0.32621,3.345897,9.090784,7.9894776E-4,-0.20040272,-0.006657898,19.99534,4.2572823,0.0,-0.7013814,3.437954,9.422022,HELD_IN_HAND
1772088863360,-0.8026561,3.4715924,9.0476885,-0.060320552,-0.23369221,-0.07669898,21.171696,5.256264,0.0,-0.8325836,3.5199552,9.050082,HELD_IN_HAND
1772088863359,-0.8026561,3.4715924,9.0476885,-0.060320552,-0.23369221,-0.07669898,21.171696,5.256264,0.0,-0.8325836,3.5199552,9.050082,HELD_IN_HAND
1772088863356,-0.8026561,3.4715924,9.0476885,-0.060320552,-0.23369221,-0.07669898,21.171696,5.256264,0.0,-0.8325836,3.5199552,9.050082,HELD_IN_HAND
